,rank,rank_last_week,weeks_on_list,asterisk,dagger,primary_isbn10,primary_isbn13,publisher,description,price,title,author,contributor,contributor_note,book_image,book_image_width,book_image_height,amazon_product_url,age_group,book_review_link,first_chapter_link,sunday_review_link,article_chapter_link,isbns,buy_links,book_uri,List Name
0,1,1,34,0,0,1649374046,9781649374042,Red Tower,"Violet Sorrengail is urged by the commanding general, who also is her mother, to become a candidate for the elite dragon riders.",0.0,FOURTH WING,Rebecca Yarros,by Rebecca Yarros,,https://storage.googleapis.com/du-prd/books/images/9781649374042.jpg,309,500,https://www.amazon.com/dp/1649374046?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1649374046', 'isbn13': '9781649374042'}, {'isbn10': '1649374089', 'isbn13': '9781649374080'}, {'isbn10': '1705085059', 'isbn13': '9781705085059'}, {'isbn10': '1705085032', 'isbn13': '9781705085035'}, {'isbn10': '1649376162', 'isbn13': '9781649376169'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/1649374046?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781649374042?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781649374042'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FFOURTH%2BWING%2FRebecca%2BYarros%2F9781649374042'}, {'name': 'Bookshop', 'url': 'https://bookshop.org/a/3546/9781649374042'}, {'name': 'IndieBound', 'url': 'https://www.indiebound.org/book/9781649374042?aff=NYT'}]",nyt://book/106c2cf0-7d20-51b1-bad4-91c3ebcd131a,Combined Print and E-Book Fiction
1,2,2,7,0,0,1649374178,9781649374172,Red Tower,The second book in the Empyrean series. Violet Sorrengail’s next round of training might require her to betray the man she loves.,0.0,IRON FLAME,Rebecca Yarros,by Rebecca Yarros,,https://storage.googleapis.com/du-prd/books/images/9781649374172.jpg,309,500,https://www.amazon.com/dp/1649374178?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1649374178', 'isbn13': '9781649374172'}, {'isbn10': '1705085083', 'isbn13': '9781705085080'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/1649374178?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781649374172?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781649374172'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FIRON%2BFLAME%2FRebecca%2BYarros%2F9781649374172'}, {'name': 'Bookshop', 'url': 'https://bookshop.org/a/3546/9781649374172'}, {'name': 'IndieBound', 'url': 'https://www.indiebound.org/book/9781649374172?aff=NYT'}]",nyt://book/d3c570c9-3c3a-5c8b-a740-85ea5e92bfc9,Combined Print and E-Book Fiction
2,3,3,8,0,0,0593422945,9780593422946,Riverhead,Secrets held by the residents of a dilapidated neighborhood come to life when a skeleton is found at the bottom of a well.,0.0,THE HEAVEN & EARTH GROCERY STORE,James McBride,by James McBride,,https://storage.googleapis.com/du-prd/books/images/9780593422946.jpg,331,500,https://www.amazon.com/dp/0593422945?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0593422945', 'isbn13': '9780593422946'}, {'isbn10': '0593422961', 'isbn13': '9780593422960'}, {'isbn10': '0593684125', 'isbn13': '9780593684122'}, {'isbn10': '0593684141', 'isbn13': '9780593684146'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/0593422945?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780593422946?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780593422946'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTHE%2BHEAVEN%2B%2526%2BEARTH%2BGROCERY%2BSTORE%2FJames%2BMcBride%2F9780593422946'}, {'name': 'Bookshop', 'url': 'https://bookshop.org/a/3546/9780593422946'}, {'name': 'IndieBound', 'url': 'https://www.indiebound.org/book/9780593422946?aff=NYT'}]",nyt://book/7d47b076-7ad7-539c-a051-6664384636b9,Combined Print and E-Book Fiction
3,4,4,10,0,0,0385548958,9780385548953,Doubleday,"In a sequel to “The Firm,” Mitch McDeere, who is now a partner at the world’s largest law firm, gets caught up in a sinister plot.",0.0,THE EXCHANGE,John Grisham,by John Grisham,,https://storage.googleapis.com/du-prd/books/images/9780385548953.jpg,329,500,https://www.amazon.com/dp/0385548958?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0385548958', 'isbn13': '9780385548953'}, {'isbn10': '0385548966', 'isbn13': '9780385548960'}, {'isbn10': '0593607481', 'isbn13': '9780593607480'}, {'isbn10': '0385548974', 'isbn13': '9780385548977'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/0385548958?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780385548953?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780385548953'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTHE%2BEXCHANGE%2FJohn%2BGrisham%2F9780385548953'}, {'name': 'Bookshop', 'url': 'https://bookshop.org/a/3546/9780385548953'}, {'name': 'IndieBound', 'url': 'https://www.indiebound.org/book/9780385548953?aff=NYT'}]",nyt://book/52c31163-754f-58c8-90d8-ea1f297f7030,Combined Print and E-Book Fiction
4,5,5,27,0,0,1668026031,9781668026038,Atria,Anastasia might need the help of the captain of a college hockey team to get on the Olympic figure skating team.,0.0,ICEBREAKER,Hannah Grace,by Hannah Grace,,https://storage.googleapis.com/du-prd/books/images/9781668026038.jpg,322,500,https://www.amazon.com/dp/1668026031?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1668026031', 'isbn13': '9781668026038'}, {'isbn10': '166802604X', 'isbn13': '9781668026045'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/1668026031?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781668026038?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781668026038'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FICEBREAKER%2FHannah%2BGrace%2F9781668026038'}, {'name': 'Bookshop', 'url': 'https://bookshop.org/a/3546/9781668026038'}, {'name': 'IndieBound', 'url': 'https://www.indiebound.org/book/9781668026038?aff=NYT'}]",nyt://book/a89bf395-aba9-520b-bf2b-7e6245e89ef9,Combined Print and E-Book Fiction
5,6,6,59,0,0,038554734X,9780385547345,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.,0.0,LESSONS IN CHEMISTRY,Bonnie Garmus,by Bonnie Garmus,,https://storage.googleapis.com/du-prd/books/images/9780385547345.jpg,328,500,https://www.amazon.com/dp/038554734X?tag=NYTBSREV-20,,,,,,"[{'isbn10': '038554734X', 'isbn13': '9780385547345'}, {'isbn10': '0593507533', 'isbn13': '9780593507537'}, {'isbn10': '0385547374', 'isbn13': '9780385547376'}, {'isbn10': '0593862406', 'isbn13': '9780593862407'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/038554734X?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780385547345?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780385547345'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FLESSONS%2BIN%2BCHEMISTRY%2FBonnie%2BGarmus%2F9780385547345'}, {'name': 'Bookshop', 'url': 'https://bookshop.org/a/3546/9780385547345'}, {'name': 'IndieBound', 'url': 'https://www.indiebound.org/book/9780385547345?aff=NYT'}]",nyt://book/717e0ead-9782-567d-af27-d9a6cfb1856f,Combined Print and E-Book Fiction
6,7,8,14,0,0,1668016133,9781668016138,Scribner,The private detective Holly Gibney investigates whether a married pair of octogenarian academics had anything to do with Bonnie Dahl’s disappearance.,0.0,HOLLY,Stephen King,by Stephen King,,https://storage.googleapis.com/du-prd/books/images/9781668016138.jpg,327,500,https://www.amazon.com/dp/1668016133?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1668016133', 'isbn13': '9781668016138'}, {'isbn10': '1668014955', 'isbn13': '9781668014950'}, {'isbn10': '1797161407', 'isbn13': '9781797161402'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/1668016133?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781668016138?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781668016138'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FHOLLY%2FStephen%2BKing%2F9781668016138'}, {'name': 'Bookshop', 'url': 'https://bookshop.org/a/3546/9781668016138'}, {'name': 'IndieBound', 'url': 'https://www.indiebound.org/book/9781668016138?aff=NYT'}]",nyt://book/24a09504-4f13-5e38-a4a0-f6b8978e5ca7,Combined Print and E-Book Fiction
7,8,7,6,0,0,0062406655,9780062406651,Harper,"The actions of an 11-year-old boy help facilitate the delivery of Jewish residents, including his family, to Auschwitz.",0.0,THE LITTLE LIAR,Mitch Albom,by Mitch Albom,,https://storage.googleapis.com/du-prd/books/images/9780062406651.jpg,340,500,https://www.amazon.com/dp/0062406655?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0062406655', 'isbn13': '9780062406651'}, {'isbn10': '0062406671', 'isbn13': '9780062406675'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/0062406655?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780062406651?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780062406651'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTHE%2BLITTLE%2BLIAR%2FMitch%2BAlbom%2F9780062406651'}, {'name': 'Bookshop', 'url': 'https://bookshop.org/a/3546/9780062406651'}, {'name': 'IndieBound', 'url': 'https://www.indiebound.org/book/9780062406651?aff=NYT'}]",nyt://book/8c2c6a00-8609-5b8e-a8b6-5c350bef3ea6,Combined Print and E-Book Fiction
8,9,9,6,0,0,1538719916,9781538719916,Grand Central,The second book in the 6:20 Man series. Travis Devine investigates the murder of the C.I.A. operative Jenny Silkwell in rural Maine.,0.0,THE EDGE,David Baldacci,by David Baldacci,,https://storage.googleapis.com/du-prd/books/images/9781538719916.jpg,331,500,https://www.amazon.com/dp/1538719916?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1538719916', 'isbn13': '9781538719916'}, {'isbn10': '1538719932', 'isbn13': '9781538719930'}, {'isbn10': '1538719924', 'isbn13': '9781538719923'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/1538719916?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781538719916?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781538719916'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTHE%2BEDGE%2FDavid%2BBaldacci%2F9781538719916'}, {'name': 'Bookshop', 'url': 'https://bookshop.org/a/3546/9781538719916'}, {'name': 'IndieBound', 'url': 'https://www.indiebound.org/book/9781538719916?aff=NYT'}]",nyt://book/805e918a-dd9c-50c5-82c3-5240978bccb5,Combined Print and E-Book Fiction
9,10,14,113,0,0,1501161938,9781501161933,Washington Square/Atria,A movie icon recounts stories of her loves and career to a struggling magazine writer.,0.0,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,by Taylor Jenkins Reid,,https://storage.googleapis.com/du-prd/books/images/9781501161933.jpg,315,500,https://www.amazon.com/dp/1501161938?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1501161938', 'isbn13': '9781501161933'}, {'isbn10': '150113924X', 'isbn13': '9781501139246'}, {'isbn10': '1501139231', 'isbn13': '9781501139239'}, {'isbn10': '1797106325', 'isbn13': '9781797106328'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/1501161938?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781501161933?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781501161933'}, {'name': 'Books-A-Million', 'url': 'https://www.anrdoezrs.net/click-7990613-35140?url=https%3A%2F%2Fwww.booksamillion.com%2Fp%2FTHE%2BSEVEN%2BHUSBANDS%2BOF%2BEVELYN%2BHUGO%2FTaylor%2BJenkins%2BReid%2F9781501161933'}, {'name': 'Bookshop', 'url': 'https://bookshop.org/a/3546/9781501161933'}, {'name': 'IndieBound', 'url': 'https://www.indiebound.org/book/9781501161933?aff=NYT'}]",nyt://book/d9511fac-ee44-5a87-9af7-2cd6a6f8f984,Combined Print and E-Book Fiction
